,,東京都都市公園等区市町村別面積・人口割比率表(令和7年4月1日現在）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,面積,人口,人口密度,都市公園,,,,,,,,,,都市公園以外の都区市町村立公園,,,,,,,,国都区市町村立公園,,,,その他（ニ）,,,,,,一人,,,,
,,,,,,,,,,,,,一人当た,面積の,,,,,,,,,,,一人当た,面積の,,,,,総合計,,当たり,面積の,,,
,行政区分,(Ａ）,（Ｂ）,（Ｂ／Ａ）,都立公園,,区市町村立公園,,国営公園,,都市公園の計,,り面積,割合,自然ふれあい公園,,海上公園,,区市町村立公園,,都市公園以外の計,,公立公園合計,,り面積,割合,,,公団・公社の,,(ホ)ハ+ニ,,面積,割合,行政区分,,
,,,,,,,,,,,（イ）,,イ／Ｂ,イ／Ａ,,,,,,,(ロ),,(ハ)イ+ロ,,ハ／Ｂ,ハ／A,,国民公園等,設置する公園,,,,(ホ/B),(ホ/A),,,
,,k㎡,人,（人／k㎡）,数,面積  ㎡,数,面積  ㎡,数,面積  ㎡,数,面積  ㎡, ㎡,％,数,面積  ㎡,数,面積  ㎡,数,面積  ㎡,数,面積  ㎡,数,面積  ㎡, ㎡,％,数,面積  ㎡,数,面積  ㎡,数,面積  ㎡, ㎡,％,,,
2,新島村,27.54,"2,159",78,0,0.00,4,"12,400.00",,,4,"12,400.00",5.74,0.05,1,"191,389.22",,,6,"32,997.59 ",7 ,"224,386.81 ",11 ,"236,786.81 ",109.67,0.86,,,0,0.00 ,11 ,"236,786.81",109.67,0.86,新島村,,新島村計
3,三宅村,55.26,"1,980",36,0,0.00,0,0.00,,,0,0.00,0.00,0.00,,,,,7,"14,268.28 ",7 ,"14,268.28 ",7 ,"14,268.28 ",7.21,0.03,,,0,0.00 ,7 ,"14,268.28",7.21,0.03,三宅村,,三宅村計
4,八丈町,72.24,"6,437",89,0,0.00,4,"112,971.38",,,4,"112,971.38",17.55,0.16,1,"224,068.63",,,0,0.00 ,1 ,"224,068.63 ",5 ,"337,040.01 ",52.36,0.47,,,0,0.00 ,5 ,"337,040.01",52.36,0.47,八丈町,,八丈町計
5,利島村,4.04,301,75,0,0.00,0,0.00,,,0,0.00,0.00,0.00,,,,,0,0.00 ,0 ,0.00 ,0 ,0.00 ,0.00,0.00,,,0,0.00 ,0 ,0.00,0.00,0.00,利島村,,利島村計
6,神津島村,18.58,"1,673",90,0,0.00,0,0.00,,,0,0.00,0.00,0.00,1,"20,956.58",,,0,0.00 ,1 ,"20,956.58 ",1 ,"20,956.58 ",12.53,0.11,,,0,0.00 ,1 ,"20,956.58",12.53,0.11,神津島村,,神津島村計
7,御蔵島村,20.39,291,14,0,0.00,0,0.00,,,0,0.00,0.00,0.00,,,,,1,103.00 ,1 ,103.00 ,1 ,103.00 ,0.35,0.00,,,0,0.00 ,1 ,103.00,0.35,0.00,御蔵島村,,御蔵島村計
8,青ヶ島村,5.95,153,26,0,0.00,0,0.00,,,0,0.00,0.00,0.00,,,,,1,451.74 ,1 ,451.74 ,1 ,451.74 ,2.95,0.01,,,0,0.00 ,1 ,451.74,2.95,0.01,青ヶ島村,,青ヶ島村計
9,小笠原村,113.04,"2,732",24,1,"153,125.94",3,"9,406.68",,,4,"162,532.62",59.49,0.14,,,,,1,"1,688.00 ",1 ,"1,688.00 ",5 ,"164,220.62 ",60.11,0.15,,,0,0.00 ,5 ,"164,220.62",60.11,0.15,小笠原村,,小笠原村計
10,その他　※3,4.82,,0,,,,,,,0,0.00,,,,,,,,,0 ,0.00 ,0 ,0.00 ,,,,,0,0.00 ,0 ,0.00,,,その他　※3,,その他
,島部（計）,412.62,"21,934",53,1,"153,125.94",13,"203,325.00",0,0.00,14,"356,450.94",16.25,0.09,4,"3,713,956.43",0,0.00 ,20,"109,184.61 ",24 ,"3,823,141.04 ",38 ,"4,179,591.98 ",190.55,1.01,0,0.00,0,0.00 ,38 ,"4,179,591.98",190.55,1.01,島部（計）,,島部（計）
